"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type_","typetext","zip"
"028XX Palmyra St","UNF","UNFOUNDED","POINT (-90.09078833 29.96482848)",,,,,"3674269","534835","A0000114","1","1A",,"2014-01-01T00:44:13.000","2014-01-01T00:00:14.000",,"52F","FIRE","70119"
"028XX Palmyra St","UNF","UNFOUNDED","POINT (-90.0912485 29.96519654)",,,,,"3674122","534967","A0000214","1","2B","2014-01-01T00:03:08.000","2014-01-01T00:05:32.000","2014-01-01T00:00:20.000","2014-01-01T00:00:48.000","34S","AGGRAVATED BATTERY BY SHOOTING","70119"
"063XX Patterson Dr","DUP","DUPLICATE","POINT (0 0)",,,,,"37369000","3513814","A0000314","4","2B",,"2014-01-01T00:32:25.000","2014-01-01T00:00:23.000",,"24","MEDICAL","70131"
"S Broad St & Washington Ave","NAT","Necessary Action Taken","POINT (-90.1007862 29.95072597)",,,,,"3671159","529672","A0000414","6","1H","2014-01-01T00:00:46.000","2014-01-01T00:11:01.000","2014-01-01T00:00:46.000",,"21","COMPLAINT OTHER","70125"
"047XX W Adams Ct","NAT","Necessary Action Taken","POINT (-89.9501843 30.02334104)",,,,,"3718531","556622","A0000514","7","2B","2014-01-01T00:00:56.000","2014-01-01T00:09:56.000","2014-01-01T00:00:56.000",,"94","DISCHARGING FIREARM","70128"
"Esplanade Ave & N Gayoso St","UNF","UNFOUNDED","POINT (-90.08242805 29.9788654)",,,,,"3676860","539968","A0000614","1","1C",,"2014-01-01T00:42:59.000","2014-01-01T00:01:30.000",,"94F","FIREWORKS","70119"
"027XX Tulane Ave","GOA","GONE ON ARRIVAL","POINT (-90.09095489 29.96218685)",,,,,"3674227","533873","A0000714","1","1A","2014-01-01T00:40:43.000","2014-01-01T00:41:13.000","2014-01-01T00:01:39.000","2014-01-01T00:40:37.000","103","DISTURBANCE (OTHER)","70119"
"048XX Eastview Dr","UNF","UNFOUNDED","POINT (-89.99287464 30.02118037)",,,,,"3705031","555676","A0000814","7","2B","2014-01-01T00:15:15.000","2014-01-01T00:18:05.000","2014-01-01T00:01:45.000","2014-01-01T00:10:13.000","94","DISCHARGING FIREARM","70126"
"049XX Eastern St","UNF","UNFOUNDED","POINT (-90.04718146 30.00910973)",,,,,"3687895","551089","A0000914","3","1A","2014-01-01T00:44:03.000","2014-01-01T00:46:32.000","2014-01-01T00:01:50.000","2014-01-01T00:35:58.000","94F","FIREWORKS","70122"
"001XX Magazine St","NAT","Necessary Action Taken","POINT (-90.0672914 29.9512278)",,,,,"3681763","529970","A0001014","8","1A","2014-01-01T00:06:40.000","2014-01-01T00:18:27.000","2014-01-01T00:02:53.000","2014-01-01T00:03:35.000","103","DISTURBANCE (OTHER)","70130"
