"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type_","typetext","zip"
"Bourbon St & Orleans Ave","NAT","Necessary Action Taken","POINT (-90.06528204 29.95904477)",,,,,"3682368","532820","A0000215","8","1H","2015-01-01T00:00:36.000","2015-01-01T01:31:54.000","2015-01-01T00:00:36.000",,"21","COMPLAINT OTHER","70116"
"003XX Canal St","VOI","VOID","POINT (-90.06629572 29.95032257)",,,,,"3682082","529645","A0000615","8","1H",,"2015-01-01T01:22:17.000","2015-01-01T00:02:44.000",,"21","COMPLAINT OTHER","70130"
"002XX N Peters St","VOI","VOID","POINT (-90.06550529 29.95270936)",,,,,"3682323","530515","A0640315","8","2C",,"2015-01-06T15:04:46.000","2015-01-06T14:59:39.000",,"62A","BURGLAR ALARM, SILENT","70130"
"022XX Royal St","VOI","VOID","POINT (-90.05618146 29.96450204)",,,,,"3685228","534836","A0768115","8","1B",,"2015-01-07T16:47:23.000","2015-01-07T16:42:58.000",,"67A","AUTO THEFT","70117"
"006XX Chartres St","VOI","VOID","POINT (-90.06423501 29.95715916)",,,,,"3682707","532138","A0823815","8","2C",,"2015-01-08T01:18:45.000","2015-01-08T01:15:51.000",,"62A","BURGLAR ALARM, SILENT","70130"
"044XX Jeanne Marie Pl","VOI","VOID","POINT (-90.0771039 30.00274194)",,,,,"3678451","548669","A0921715","3","2D",,"2015-01-08T19:14:58.000","2015-01-08T19:13:31.000",,"911","SILENT 911 CALL","70122"
"007XX Decatur St","RTF","REPORT TO FOLLOW","POINT (-90.06294903 29.95746772)",,,,,"3683113","532255","A0993415","8","1E",,"2015-01-09T14:15:32.000","2015-01-09T11:27:59.000","2015-01-09T12:37:44.000","67","THEFT","70116"
"062XX Chef Menteur Hwy","DUP","DUPLICATE","POINT (-90.01563884 30.01079493)",,,,,"3697871","551815","A1002015","7","1A",,"2015-01-09T13:53:55.000","2015-01-09T12:25:41.000",,"103","DISTURBANCE (OTHER)","70126"
"032XX Memorial Park Dr","DUP","DUPLICATE","POINT (-90.02320519 29.91891094)",,,,,"3695858","518376","A1066715","4","1H","2015-01-09T21:15:18.000","2015-01-09T21:16:57.000","2015-01-09T21:15:18.000",,"21","COMPLAINT OTHER",
"015XX Fern St","VOI","VOID","POINT (-90.12556114 29.94848053)",,,,,"3663322","528772","A1116115","2","2C",,"2015-01-10T08:49:21.000","2015-01-10T08:46:01.000",,"62A","BURGLAR ALARM, SILENT","70118"
"032XX General De Gaulle Dr","VOI","VOID","POINT (-90.02266609 29.92611964)",,,,,"3695999","520999","A1218115","4","1A",,"2015-01-11T02:55:25.000","2015-01-11T02:34:56.000",,"103","DISTURBANCE (OTHER)","70114"
"066XX Franklin Ave","DUP","DUPLICATE","POINT (-90.05423129 30.02816393)",,,,,"3685587","557993","A1271415","3","1A",,"2015-01-11T16:30:01.000","2015-01-11T16:29:34.000",,"103","DISTURBANCE (OTHER)","70122"
"025XX Jasmine St","VOI","VOID","POINT (-90.05103632 30.00106467)",,,,,"3686708","548150","A1504015","3","1A",,"2015-01-13T16:44:52.000","2015-01-13T15:13:38.000",,"21","COMPLAINT OTHER","70122"
"038XX General Degaulle Dr","VOI","VOID","POINT (-90.01634236 29.92171854)",,,,,"3698020","519422","A1593515","4","2A",,"2015-01-14T09:09:30.000","2015-01-14T08:56:55.000",,"103","DISTURBANCE (OTHER)","70114"
"028XX Mansfield Ave","NAT","Necessary Action Taken","POINT (0 0)",,,,,"37369000","3513814","A1693215","4","2B",,"2015-01-14T22:59:32.000","2015-01-14T22:37:07.000","2015-01-14T22:59:30.000","24","MEDICAL","70131"
"072XX Northgate Dr","VOI","VOID","POINT (-89.96608779 30.0474962)",,,,,"3713393","565345","A1726115","7","2C",,"2015-01-15T08:35:44.000","2015-01-15T08:30:20.000",,"62A","BURGLAR ALARM, SILENT","70128"
"Canal St & Bourbon St","DUP","DUPLICATE","POINT (-90.06989927 29.95387931)",,,,,"3680927","530925","A1771715","8","0E",,"2015-01-15T17:56:52.000","2015-01-15T16:08:04.000",,"21P","LOST PROPERTY","70112"
"041XX N Derbigny St","DUP","DUPLICATE","POINT (-90.03215016 29.97163591)",,,,,"3692807","537516","A1809515","5","1A",,"2015-01-15T21:46:33.000","2015-01-15T21:46:11.000",,"21","COMPLAINT OTHER","70117"
"016XX Franklin Ave","VOI","VOID","POINT (-90.04819301 29.97423165)",,,,,"3687717","538403","A1923715","5","2B",,"2015-01-16T19:26:56.000","2015-01-16T19:19:56.000",,"64A","HOLD UP ALARM","70117"
"086XX Cohn St","VOI","VOID","POINT (0 0)",,,,,"37369000","3513814","A1990215","2","1A",,"2015-01-17T09:17:49.000","2015-01-17T08:54:36.000",,"103M","MENTAL PATIENT","70118"
"123XX Lake Forest Blvd","VOI","VOID","POINT (-89.93370121 30.05050779)",,,,,"3723626","566564","A2017415","7","2C",,"2015-01-17T14:29:34.000","2015-01-17T14:26:15.000",,"63","PROWLER","70129"
"019XX Treasure St","VOI","VOID","POINT (0 0)",,,,,"37369000","3513814","A2071815","3","2A",,"2015-01-18T00:44:58.000","2015-01-18T00:02:17.000",,"21J","MISSING JUVENILE","70122"
"047XX Haydel St","VOI","VOID","POINT (-90.01213152 30.01841836)",,,,,"3698949","554600","A2117615","7","1B",,"2015-01-18T11:33:27.000","2015-01-18T11:07:36.000",,"67A","AUTO THEFT","70126"
"042XX Palmyra St","VOI","VOID","POINT (-90.1042106 29.97437996)",,,,,"3669982","538262","A2120715","3","1A",,"2015-01-18T12:06:28.000","2015-01-18T11:39:35.000",,"103","DISTURBANCE (OTHER)","70119"
"S Broad St & Tulane Ave","DUP","DUPLICATE","POINT (-90.09058818 29.96173121)",,,,,"3674345","533709","A2138115","1","1C",,"2015-01-18T15:01:43.000","2015-01-18T15:00:51.000",,"20","AUTO ACCIDENT","70119"
"Lafayette St & Camp St","VOI","VOID","POINT (-90.0697214 29.94814256)",,,,,"3681006","528840","A2183615","8","1H",,"2015-01-18T23:31:16.000","2015-01-18T23:30:27.000",,"21","COMPLAINT OTHER","70130"
"003XX Chartres St","VOI","VOID","POINT (-90.06631593 29.95454289)",,,,,"3682059","531179","A2193415","8","1A",,"2015-01-19T02:36:04.000","2015-01-19T01:43:20.000",,"103","DISTURBANCE (OTHER)","70130"
"009XX N Rampart St","VOI","VOID","POINT (-90.06640546 29.96246927)",,,,,"3681999","534061","A2378115","8","1H",,"2015-01-20T18:15:27.000","2015-01-20T16:55:02.000",,"21","COMPLAINT OTHER","70116"
"003XX N Bernadotte St","VOI","VOID","POINT (-90.10565955 29.98142182)",,,,,"3669496","540818","A2574215","3","2C",,"2015-01-22T04:35:22.000","2015-01-22T04:13:20.000",,"62A","BURGLAR ALARM, SILENT","70119"
"021XX Caton St","DUP","DUPLICATE","POINT (-90.0610962 29.99954369)",,,,,"3683530","547561","A2612615","3","1A",,"2015-01-22T18:17:51.000","2015-01-22T12:35:50.000",,"21","COMPLAINT OTHER","70122"
"087XX Oak St","VOI","VOID","POINT (-90.13511645 29.95150581)",,,,,"3660284","529840","A2663215","2","1A",,"2015-01-22T20:35:52.000","2015-01-22T20:03:27.000",,"62A","BURGLAR ALARM, SILENT","70118"
"056XX Red Maple Dr","VOI","VOID","POINT (-89.93432065 30.04456421)",,,,,"3723456","564400","A2791315","7","1F",,"2015-01-23T21:57:02.000","2015-01-23T21:46:38.000",,"68","UNAUTHORIZED USE OF VEHICLE","70129"
"X Canal St","VOI","VOID","POINT (-90.06460433 29.94961014)",,,,,"3682621","529391","A2830415","8","2A",,"2015-01-24T06:39:39.000","2015-01-24T06:31:13.000",,"103","DISTURBANCE (OTHER)","70130"
"X S Oakridge Ct","VOI","VOID","POINT (-89.96587621 30.05332716)",,,,,"3713435","567466","A3023515","7","1H",,"2015-01-25T22:15:25.000","2015-01-25T20:40:02.000",,"21","COMPLAINT OTHER","70128"
"005XX S Cortez St","UNF","UNFOUNDED","POINT (-90.10099015 29.96905269)",,,,,"3671022","536336","A3024115","1","0E",,"2015-01-26T01:08:18.000","2015-01-25T20:46:06.000","2015-01-26T00:46:42.000","21P","LOST PROPERTY","70119"
"073XX Sardonyx St","VOI","VOID","POINT (-90.10510298 30.02233792)",,,,,"3669512","555698","A3059815","3","2C",,"2015-01-26T06:58:35.000","2015-01-26T06:50:25.000",,"62A","BURGLAR ALARM, SILENT","70124"
"110XX Roger Dr","VOI","VOID","POINT (0 0)",,,,,"37369000","3513814","A3143315","7","1A",,"2015-01-26T19:04:10.000","2015-01-26T18:50:05.000",,"21J","MISSING JUVENILE","70127"
"Gov Nicholls St & Burgundy St","DUP","DUPLICATE","POINT (-90.06386629 29.96385736)",,,,,"3682797","534575","A3175615","8","2A",,"2015-01-27T01:19:39.000","2015-01-27T01:12:15.000",,"21","COMPLAINT OTHER","70116"
"XX S Wren St","VOI","VOID","POINT (-90.09459724 30.02260115)",,,,,"3672836","555830","A3202115","3","1H",,"2015-01-27T10:24:15.000","2015-01-27T09:05:52.000","2015-01-27T10:21:13.000","21","COMPLAINT OTHER","70124"
"Magazine St & Third St","VOI","VOID","POINT (-90.08083545 29.92715102)",,,,,"3677570","521168","A3224915","6","1A",,"2015-01-27T12:19:36.000","2015-01-27T12:16:52.000",,"103","DISTURBANCE (OTHER)","70130"
"068XX Tara Ln","VOI","VOID","POINT (-89.98521266 30.03112736)",,,,,"3707413","559321","A3387815","7","2A",,"2015-01-28T15:16:38.000","2015-01-28T15:00:49.000",,"100","HIT & RUN","70127"
"Calliope St (6E04) & St Charles Ave","DUP","DUPLICATE","POINT (-90.0733761 29.9418002)",,,,,"3679874","526521","A3543715","6","2B",,"2015-01-29T16:48:11.000","2015-01-29T16:45:04.000",,"103F","FIGHT","70130"
"051XX Orleans Ave","VOI","VOID","POINT (-90.10302763 29.98859457)",,,,,"3670301","543435","A3559415","3","1E",,"2015-01-29T19:42:13.000","2015-01-29T18:55:30.000",,"100","HIT & RUN","70124"
"002XX Bourbon St","UNF","UNFOUNDED","POINT (-90.06882261 29.95528634)",,,,,"3681262","531441","A3601715","8","2C",,"2015-01-30T02:43:30.000","2015-01-30T02:25:25.000","2015-01-30T02:27:06.000","63","PROWLER","70112"
"083XX Edinburgh St","VOI","VOID","POINT (-90.11449389 29.96556343)",,,,,"3666760","535021","A3776415","2","1A",,"2015-01-31T14:58:34.000","2015-01-31T14:53:27.000",,"62A","BURGLAR ALARM, SILENT","70118"
"001XX Delaronde St","VOI","VOID","POINT (0 0)",,,,,"37369000","3513814","A3815215","4","2B",,"2015-01-31T21:24:20.000","2015-01-31T21:17:11.000",,"24","MEDICAL","70114"
"006XX Broadway St","UNF","UNFOUNDED","POINT (-90.1263612 29.93821973)",,,,,"3663108","525038","A3830115","2","2D",,"2015-01-31T23:49:05.000","2015-01-31T23:42:32.000","2015-01-31T23:42:58.000","911","SILENT 911 CALL","70118"
"I-10 E","GOA","GONE ON ARRIVAL","POINT (-89.94129879 30.0585957)",,,,,"3721186","569476","B0062315","7","2A",,"2015-02-01T13:02:33.000","2015-02-01T13:00:25.000","2015-02-01T13:02:25.000","99","WRECKLESS DRIVING","70128"
"022XX Canal St","DUP","DUPLICATE","POINT (-90.0823876 29.96270513)",,,,,"3676937","534091","B0119215","1","2A",,"2015-02-01T23:34:07.000","2015-02-01T23:07:28.000",,"100","HIT & RUN","70119"
"037XX Pin Oak Ave","VOI","VOID","POINT (-89.99584918 29.90803219)",,,,,"3704570","514520","B0291315","4","1H",,"2015-02-03T11:35:24.000","2015-02-03T10:48:01.000",,"21","COMPLAINT OTHER","70131"
"006XX Richard St","VOI","VOID","POINT (-90.06796176 29.93145753)",,,,,"3681630","522779","B0364015","6","1A",,"2015-02-03T22:14:54.000","2015-02-03T22:06:24.000",,"103","DISTURBANCE (OTHER)","70130"
"XX Dove St","VOI","VOID","POINT (-90.09216857 30.02040826)",,,,,"3673613","555041","B0580215","3","2C",,"2015-02-05T18:13:54.000","2015-02-05T18:11:05.000",,"62A","BURGLAR ALARM, SILENT","70124"
"062XX Vermillion Blvd","VOI","VOID","POINT (-90.0627239 30.02302857)",,,,,"3682920","556096","B0661015","3","2A",,"2015-02-06T13:00:23.000","2015-02-06T12:57:05.000",,"21","COMPLAINT OTHER","70122"
"001XX Elk Pl","NAT","Necessary Action Taken","POINT (-90.0749114 29.95491387)",,,,,"3679336","531284","B0701715","8","2C",,"2015-02-06T19:51:50.000","2015-02-06T19:51:15.000","2015-02-06T19:51:15.000","63","PROWLER","70112"
