"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type","typetext","zip"
"009XX Decatur St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0613152964016 29.958469303316875)",,,,,"3683627.00000000","532625.00000000","A0000112","8","2C",,"2012-01-01T00:33:32.000","2012-01-01T00:00:11.000","2012-01-01T00:02:46.000","62A","BURGLAR ALARM, SILEN","70116"
"147XX Chef Menteur Hwy","UNF","UNFOUNDED","POINT (-89.90425047516077 30.038788769111676)",,,,,"3732996.00000000","562418.00000000","A0000412","7","2B","2012-01-01T00:16:59.000","2012-01-01T00:30:09.000","2012-01-01T00:00:36.000","2012-01-01T00:03:22.000","94","DISCHARGING FIREARMS","70129"
"038XX Gentilly Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-90.04791794333323 30.002886229898206)",,,,,"3687688.00000000","548824.00000000","A0000212","3","1C","2012-01-01T00:01:44.000","2012-01-01T00:19:52.000","2012-01-01T00:01:13.000","2012-01-01T00:01:19.000","103","DISTURBANCE (OTHER)","70122"
"Carondelet St & Napoleon Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.10228161624175 29.927555772946167)",,,,,"3670776.00000000","521242.00000000","A0000712","2","1H",,"2012-01-01T00:20:13.000","2012-01-01T00:01:18.000","2012-01-01T00:13:35.000","21","COMPLAINT OTHER","70115"
"002XX W Harrison Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.11723146931276 30.005736477457617)",,,,,"3665739.00000000","549621.00000000","A0000512","3","2C","2012-01-01T00:09:11.000","2012-01-01T01:55:13.000","2012-01-01T00:01:20.000","2012-01-01T00:02:52.000","62A","BURGLAR ALARM, SILEN","70124"
"Edinburgh St & Gen Ogden St","NAT","NECESSARY ACTION TAKEN","POINT (-90.11877559308643 29.969231125026553)",,,,,"3665391.00000000","536341.00000000","A0000912","2","2B","2012-01-01T00:10:07.000","2012-01-01T00:11:51.000","2012-01-01T00:01:48.000","2012-01-01T00:04:56.000","94","DISCHARGING FIREARMS","70118"
"2nd St & S Saratoga St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08657404865586 29.93646909082185)",,,,,"3675716.00000000","524537.00000000","A0000612","6","1H",,"2012-01-01T00:14:35.000","2012-01-01T00:01:53.000","2012-01-01T00:13:59.000","94F","FIREWORKS","70113"
"044XX Walmsley Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.10568049130522 29.951792968083957)",,,,,"3669605.00000000","530044.00000000","A0000812","2","2B","2012-01-01T00:07:00.000","2012-01-01T00:08:06.000","2012-01-01T00:01:57.000","2012-01-01T00:04:22.000","94","DISCHARGING FIREARMS","70125"
"045XX Lynhuber Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.0147549454571 30.01391845481143)",,,,,"3698138.00000000","552955.00000000","A0001012","7","1H","2012-01-01T00:30:35.000","2012-01-01T00:39:17.000","2012-01-01T00:02:30.000","2012-01-01T00:18:28.000","94F","FIREWORKS","70126"
"072XX Yorktown Dr","GOA","GONE ON ARRIVAL","POINT (-89.99005742006905 30.036188457623812)",,,,,"3705859.00000000","561144.00000000","A0001212","7","2B",,"2012-01-01T00:41:18.000","2012-01-01T00:02:44.000","2012-01-01T00:35:42.000","107","SUSPICIOUS PERSON","70127"
"016XX Mazant St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0329653465727 29.970545211403707)",,,,,"3692554.00000000","537117.00000000","A0001112","5","1H","2012-01-01T01:02:46.000","2012-01-01T01:05:50.000","2012-01-01T00:02:49.000","2012-01-01T01:02:46.000","94F","FIREWORKS","70117"
"060XX France Rd","NAT","NECESSARY ACTION TAKEN","POINT (-90.03488662049787 30.023622458618963)",,,,,"3691727.00000000","556411.00000000","A0001412","3","1H","2012-01-01T02:33:03.000","2012-01-01T02:33:16.000","2012-01-01T00:02:55.000","2012-01-01T01:57:07.000","21","COMPLAINT OTHER","70126"
"139XX Wales St","UNF","UNFOUNDED","POINT (-89.95105551839877 30.066961475577113)",,,,,"3718064.00000000","572481.00000000","A0002012","7","2B",,"2012-01-01T00:26:48.000","2012-01-01T00:03:02.000","2012-01-01T00:20:51.000","94","DISCHARGING FIREARMS","70128"
"002XX N Rampart St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07170060793311 29.956608537919635)",,,,,"3680346.00000000","531912.00000000","A0001512","8","2H",,"2012-01-01T00:14:29.000","2012-01-01T00:03:17.000","2012-01-01T00:04:55.000","21","COMPLAINT OTHER","70112"
"Linden St & Vincent Rd","NAT","NECESSARY ACTION TAKEN","POINT (-89.95127837494987 30.06593807081886)",,,,,"3717998.00000000","572108.00000000","A0001312","7","2B",,"2012-01-01T00:20:46.000","2012-01-01T00:03:25.000","2012-01-01T00:07:31.000","94F","FIREWORKS","70128"
"Canal St & S Salcedo St","UNF","UNFOUNDED","POINT (-90.09142055523691 29.96819482935554)",,,,,"3674056.00000000","536057.00000000","A0002212","1","2B","2012-01-01T00:12:33.000","2012-01-01T00:29:30.000","2012-01-01T00:03:31.000","2012-01-01T00:06:56.000","94","DISCHARGING FIREARMS","70119"
"Prentiss Ave & Sierra Madre Dr","NAT","NECESSARY ACTION TAKEN","POINT (-89.96473139910947 30.021919222203024)",,,,,"3713934.00000000","556050.00000000","A0001812","7","2B",,"2012-01-01T00:11:11.000","2012-01-01T00:03:48.000","2012-01-01T00:11:01.000","94F","FIREWORKS","70127"
"039XX Dauphine St","UNF","UNFOUNDED","POINT (-90.03731970793503 29.962615913618354)",,,,,"3691208.00000000","534218.00000000","A0002112","5","2B","2012-01-01T00:07:43.000","2012-01-01T00:11:27.000","2012-01-01T00:03:54.000","2012-01-01T00:06:10.000","94","DISCHARGING FIREARMS","70117"
"026XX Dumaine St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0802719481221 29.971163635291077)",,,,,"3677574.00000000","537175.00000000","A0001612","1","1H","2012-01-01T00:31:10.000","2012-01-01T01:22:33.000","2012-01-01T00:03:58.000","2012-01-01T00:06:25.000","94F","FIREWORKS","70119"
"135XX St Marie Ct","GOA","GONE ON ARRIVAL","POINT (-89.93201553006787 30.057803599574292)",,,,,"3724127.00000000","569224.00000000","A0002612","7","1H","2012-01-01T01:39:38.000","2012-01-01T01:52:26.000","2012-01-01T00:04:01.000","2012-01-01T01:24:20.000","94F","FIREWORKS","70129"
"7th St & Dryades St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0900049073256 29.932261062113692)",,,,,"3674646.00000000","522995.00000000","A0001912","6","1H",,"2012-01-01T00:14:31.000","2012-01-01T00:04:16.000","2012-01-01T00:14:28.000","94F","FIREWORKS","70115"
"Bienville St & N Rampart St","DUP","DUPLICATE","POINT (-90.07116419816627 29.957321142460057)",,,,,"3680513.00000000","532173.00000000","A0001712","8","1H",,"2012-01-01T00:05:27.000","2012-01-01T00:04:26.000",,"21","COMPLAINT OTHER","70112"
"130XX Hayne Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-89.96074653132155 30.062775588997628)",,,,,"3715017.00000000","570922.00000000","A0002512","7","1H",,"2012-01-01T03:13:58.000","2012-01-01T00:04:39.000","2012-01-01T03:13:51.000","21","COMPLAINT OTHER","70128"
"089XX Curran Blvd","GOA","GONE ON ARRIVAL","POINT (-89.99263117496638 30.04128290222626)",,,,,"3705023.00000000","562987.00000000","A0002412","7","2B","2012-01-01T00:26:48.000","2012-01-01T00:29:22.000","2012-01-01T00:04:44.000","2012-01-01T00:22:52.000","94","DISCHARGING FIREARMS","70127"
"Burgundy St & Deslonde St","UNF","UNFOUNDED","POINT (-90.02484181837116 29.96090017973536)",,,,,"3695166.00000000","533639.00000000","A0002712","5","2B","2012-01-01T00:09:09.000","2012-01-01T00:12:38.000","2012-01-01T00:05:02.000","2012-01-01T00:07:48.000","94","DISCHARGING FIREARMS","70117"
"Pelican Ave & Verret St","UNF","UNFOUNDED","POINT (-90.05117573978308 29.95321739657903)",,,,,"3686859.00000000","530751.00000000","A0002312","4","1H","2012-01-01T00:10:04.000","2012-01-01T00:11:29.000","2012-01-01T00:05:24.000","2012-01-01T00:10:04.000","94F","FIREWORKS","70114"
"013XX Socrates St","UNF","UNFOUNDED","POINT (-90.0433676133818 29.94113180522061)",,,,,"3689381.00000000","526384.00000000","A0002912","4","2B","2012-01-01T00:13:07.000","2012-01-01T00:16:44.000","2012-01-01T00:06:03.000","2012-01-01T00:07:55.000","94","DISCHARGING FIREARMS","70114"
"067XX Tara Ln","UNF","UNFOUNDED","POINT (-89.98474543706003 30.029806447631962)",,,,,"3707567.00000000","558843.00000000","A0008712","7","2B","2012-01-01T00:36:42.000","2012-01-01T00:51:33.000","2012-01-01T00:23:30.000","2012-01-01T00:33:05.000","94","DISCHARGING FIREARMS","70127"
"033XX Roger Williams St","UNF","UNFOUNDED","POINT (-90.08074592303093 29.989763532901502)",,,,,"3677350.00000000","543937.00000000","A0003012","3","2B","2012-01-01T00:16:40.000","2012-01-01T00:25:46.000","2012-01-01T00:06:22.000","2012-01-01T00:11:31.000","94","DISCHARGING FIREARMS","70119"
"Jefferson Ave & Tchoupitoulas St","NAT","NECESSARY ACTION TAKEN","POINT (-90.11620416582203 29.916454342541194)",,,,,"3666409.00000000","517158.00000000","A0003412","2","2B","2012-01-01T00:20:00.000","2012-01-01T00:22:27.000","2012-01-01T00:06:30.000","2012-01-01T00:15:21.000","94F","FIREWORKS","70115"
"Middleboro Rd & Salem Dr","UNF","UNFOUNDED","POINT (-89.98787377496777 30.03592966746207)",,,,,"3706551.00000000","561058.00000000","A0002812","7","2B","2012-01-01T00:07:12.000","2012-01-01T00:18:16.000","2012-01-01T00:06:31.000","2012-01-01T00:06:34.000","94","DISCHARGING FIREARMS","70127"
